SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3,Var4
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279634,112,0.0001370117732259422,1.370391755805874,0.13684473727591118,edit,0.00013791659740051843,1.3791659740051843,0.13961653394751924,0,112,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279706,323,0.0003951321674283869,3.952111938618726,0.5968292369368324,edit,0.0003977416157175665,3.977416157175665,0.5996010336084405,0,323,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279729,83,0.00010153551051565359,1.0155581761775672,0.006704806981803383,edit,0.00010220604985931275,1.0220604985931276,0.009476603653411535,0,83,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279780,155,0.00018961450758947358,1.8965243049099147,0.277958412776021,edit,0.00019086671961678889,1.908667196167889,0.2807302094476291,0,155,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279811,81,9.908887170804749e-05,0.9910868948238909,-0.0038882665156207493,edit,9.974325347716064e-05,0.9974325347716064,-0.0011164698440126483,0,81,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279814,133,0.00016270148070580636,1.6273402100194752,0.21147835557281527,edit,0.00016377595941311561,1.6377595941311562,0.2142501522444234,0,133,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279940,16,1.9573110460848886e-05,0.19577025082941057,-0.7082533027383456,edit,1.9702371057216917e-05,0.19702371057216916,-0.7054815060667377,0,16,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279965,82,0.00010031219111185055,1.0033225355007291,0.0014405669894462282,edit,0.00010097465166823669,1.009746516682367,0.004212363661054258,0,82,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,280062,69,8.440903886241082e-05,0.844259206701833,-0.0735241946570152,edit,8.496647518424796e-05,0.8496647518424796,-0.07075239798540706,0,69,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,280119,122,0.00014924496726397276,1.4927481625742556,0.17398654528047777,edit,0.000150230579311279,1.5023057931127899,0.1767583419520858,0,122,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
