SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,Var1,Var2,Var3,Var4,Var5
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,278932,323,9.47039943095507e-05,0.9472293510841261,-0.023544853255888624,edit,9.528630732813654e-05,0.9528630732813654,-0.02096950312956657,0,323,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,278956,299,8.766716501100823e-05,0.8768469844401043,-0.05707618726256187,edit,8.82062101892038e-05,0.882062101892038,-0.05450083713623978,0,299,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279335,248,7.271390275160549e-05,0.7272844553215582,-0.13829569476077522,edit,7.31610037689717e-05,0.7316100376897171,-0.1357203446344532,0,248,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279352,819,0.0002401317998127617,2.4017982617272424,0.380536526173427,edit,0.00024160831486607997,2.4160831486607997,0.383111876299749,0,819,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279436,161,4.7205396544389054e-05,0.4721483762369793,-0.32592149955514177,edit,4.749565164034051e-05,0.4749565164034051,-0.32334614942881973,0,161,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279465,211,6.18654575830192e-05,0.618778306745358,-0.20846492028929875,edit,6.224585401311706e-05,0.6224585401311706,-0.2058895701629768,0,211,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279533,455,0.00013340655545153427,1.3343323676262457,0.12526402107012088,edit,0.00013422684159226665,1.3422684159226665,0.12783937119644295,0,455,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279546,528,0.00015481024456793428,1.5484120661684786,0.18988654694682075,edit,0.00015576213705652042,1.5576213705652042,0.19246189707314282,0,528,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279619,52,1.5246463480175345e-05,0.1524951277287138,-0.8167440319521924,edit,1.5340210467687615e-05,0.15340210467687615,-0.8141686818258703,0,52,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279634,333,9.763600651727673e-05,0.9765553371858019,-0.01030314208067161,edit,9.823634780269185e-05,0.9823634780269185,-0.00772779195434962,0,333,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279706,1209,0.0003544802759140768,3.545511719692596,0.5496789252737804,edit,0.0003566598933737371,3.566598933737371,0.5522542754001024,0,1209,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279729,543,0.00015920826287952334,1.5924010453209925,0.2020524540018555,edit,0.00016018719776835337,1.6018719776835337,0.20462780412817747,0,543,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279780,331,9.704960407573153e-05,0.9706901399654668,-0.012919381811272708,edit,9.764633970778079e-05,0.9764633970778079,-0.010344031684950718,0,331,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,279811,665,0.00019497881181378086,1.9501780757614362,0.2900742697161131,edit,0.00019617769155792818,1.961776915579282,0.2926496198424352,0,665,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
