SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33894,4477,0.0015064685275271203,1.477845625504105,0.16962907039624198,edit,0.0016350425742881613,1.5173195089394136,0.18107704180091183,0,4477,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33824,3399,0.0011437316339210815,1.1220007328765809,0.049993140595856536,edit,0.001241346819299857,1.1519698483102674,0.06144111200052647,0,3399,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33980,3144,0.0010579265245801355,1.0378259206131129,0.01612451338016718,edit,0.0011482184171458518,1.0655466911113505,0.027572484784837023,0,3144,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34003,3978,0.001338559705718759,1.3131270713101026,0.11830675480121362,edit,0.0014528030736024806,1.348201252303102,0.12975472620588355,0,3978,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34096,6266,0.002108450255413209,2.068389700560358,0.31563236655848326,edit,0.0022884022270470445,2.1236372666996575,0.32708033796315317,0,6266,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34357,4639,0.0015609800087554861,1.531321388589132,0.1850663485315565,edit,0.0016942065003624704,1.5722236323363725,0.19651431993622637,0,4639,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34374,1258,0.00042330520608200076,0.41526240716644275,-0.381677382877953,edit,0.0004594334506264255,0.42635424218132284,-0.3702294114732831,0,1258,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34819,5092,0.0017134102618199902,1.6808554668454103,0.22553037099441464,edit,0.0018596463677184088,1.7257518292426834,0.23697834239908452,0,5092,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34935,90,3.0284156237980974e-05,0.029708757269459336,-1.5271155145478783,edit,3.286884781906065e-05,0.030502290776088282,-1.5156675431432083,0,90,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34747,130,4.3743781232639186e-05,0.04291264938921904,-1.3674146716803663,edit,4.747722462753204e-05,0.044058864454349735,-1.3559667002756965,0,130,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
